NOME,Ano,FASE,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,PEDRA,PONTO_VIRADA,NIVEL_IDEAL,DEFASAGEM,ANO
104,2023.0,6.0,7.193,8.0,8.2775,9.553571428571429,10.0,4.5,4.0,8.132428571428571,Ametista,1,Não,2.0,2023
105,2023.0,6.0,6.86,8.0,7.175,8.839285714285714,9.875,4.5,4.0,7.405714285714286,Ágata,1,Não,2.0,2023
106,2023.0,8.0,4.099048780487805,10.0,5.828048780487805,0.0,1.5,4.5,4.0,3.0,Quartzo,0,Sim,0.0,2023
107,2023.0,6.0,5.731558154235145,8.0,4.025,7.610619469026548,6.7250000000000005,4.571428571428571,4.0,5.568533501896335,Ágata,0,Não,2.0,2023
108,2023.0,7.0,7.333318063826539,9.0,7.159459459459459,9.491525423728813,9.859459459459458,5.333333333333333,4.0,7.727060619941976,Ametista,1,Não,1.0,2023
109,2023.0,7.0,2.6255555555555556,9.0,0.0,1.1111111111111112,2.7,0.0,4.0,0.4444444444444445,Quartzo,0,Não,1.0,2023
110,2023.0,5.0,4.644166666666667,7.0,1.625,6.333333333333333,4.325,4.5,4.0,4.183333333333334,Quartzo,0,Não,3.0,2023
111,2023.0,8.0,5.899048780487806,10.0,5.828048780487805,6.0,7.5,4.5,4.0,5.4,Ágata,0,Sim,0.0,2023
116,2023.0,6.0,3.796868852459016,8.0,1.25,3.7704918032786883,3.95,2.4,4.0,2.4881967213114753,Quartzo,0,Não,2.0,2023
120,2023.0,7.0,7.209651855245077,9.0,7.075675675675676,9.40677966101695,9.775675675675675,5.0,4.0,7.592982134677051,Ametista,1,Não,1.0,2023
121,2023.0,6.0,6.672047297297298,8.0,5.3825,7.837837837837838,8.0825,6.5,4.0,6.588135135135135,Ágata,0,Não,2.0,2023
122,2023.0,7.0,2.5917391304347825,9.0,0.0,0.8695652173913043,2.7,0.0,4.0,0.34782608695652173,Quartzo,0,Não,1.0,2023
123,2023.0,6.0,6.165013513513514,8.0,6.6049999999999995,7.4774774774774775,9.305,3.3333333333333335,4.0,6.299657657657658,Ágata,0,Não,2.0,2023
125,2023.0,7.0,6.663013923013923,9.0,6.283783783783784,7.818181818181818,8.983783783783785,4.666666666666667,4.0,6.574119574119575,Ágata,0,Não,1.0,2023
126,2023.0,8.0,5.299048780487805,10.0,5.828048780487805,4.0,5.5,4.5,4.0,4.6,Quartzo,0,Sim,0.0,2023
128,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
130,2023.0,8.0,4.099048780487805,10.0,5.828048780487805,0.0,1.5,4.5,4.0,3.0,Quartzo,0,Sim,0.0,2023
133,2023.0,7.0,6.084577235772358,9.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Não,1.0,2023
134,2023.0,5.0,7.114189448441248,7.0,7.305,9.856115107913668,10.0,5.666666666666667,4.0,7.997779376498801,Ametista,1,Não,3.0,2023
136,2023.0,5.0,6.22925,7.0,5.1975,9.285714285714286,7.8975,5.0,4.0,6.793285714285715,Ágata,0,Não,3.0,2023
140,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
141,2023.0,7.0,6.084577235772358,9.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Não,1.0,2023
142,2023.0,5.0,6.457583333333334,7.0,6.4975,8.75,9.1975,4.666666666666667,4.0,7.032333333333334,Ágata,1,Não,3.0,2023
143,2023.0,5.0,3.0162439024390246,7.0,5.828048780487805,0.0,1.5,0.0,4.0,2.0,Quartzo,0,Não,3.0,2023
146,2023.0,8.0,6.499048780487806,10.0,5.828048780487805,8.0,9.5,4.5,4.0,6.2,Ágata,0,Sim,0.0,2023
147,2023.0,5.0,6.510900000000001,7.0,7.3625,8.56,10.0,4.0,4.0,7.1690000000000005,Ágata,1,Não,3.0,2023
148,2023.0,7.0,6.084577235772358,9.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Não,1.0,2023
149,2023.0,5.0,7.047265027322405,7.0,7.532500000000001,9.672131147540984,10.0,5.333333333333333,4.0,7.9485191256830605,Ametista,1,Não,3.0,2023
150,2023.0,6.0,6.337139751552796,8.0,4.965,9.391304347826088,7.665,4.857142857142857,4.0,6.713950310559007,Ágata,0,Não,2.0,2023
151,2023.0,5.0,7.2649941002949845,8.0,8.135,8.938053097345133,10.0,5.333333333333333,4.0,7.89588790560472,Ametista,1,Não,2.0,2023
153,2023.0,5.0,3.0162439024390246,7.0,5.828048780487805,0.0,1.5,0.0,4.0,2.0,Quartzo,0,Não,3.0,2023
154,2023.0,5.0,5.890429660429662,7.0,3.994594594594595,8.205128205128204,6.694594594594595,5.666666666666667,4.0,6.013222453222454,Ágata,0,Não,3.0,2023
155,2023.0,5.0,6.350658878504674,7.0,5.705,9.065420560747663,8.405000000000001,5.0,4.0,6.908168224299065,Ágata,0,Não,3.0,2023
156,2023.0,6.0,7.637333333333334,8.0,8.82,10.0,10.0,5.666666666666667,4.0,8.661333333333333,Ametista,1,Não,2.0,2023
158,2023.0,6.0,6.207833333333333,8.0,4.215,8.571428571428571,6.915,5.666666666666667,4.0,6.2479047619047625,Ágata,0,Não,2.0,2023
159,2023.0,4.0,7.071911880409127,6.0,5.890243902439025,9.67741935483871,8.590243902439024,8.0,4.0,7.827065302911095,Ametista,1,Não,4.0,2023
161,2023.0,7.0,6.084577235772358,9.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Não,1.0,2023
162,2023.0,6.0,5.386193181818182,8.0,5.08125,6.7272727272727275,7.78125,2.5,4.0,5.223409090909092,Quartzo,0,Não,2.0,2023
163,2023.0,5.0,4.582675287356322,7.0,3.5774999999999997,5.948275862068966,6.2775,2.3333333333333335,4.0,4.276977011494253,Quartzo,0,Não,3.0,2023
165,2023.0,5.0,7.134710633946831,8.0,6.255,9.570552147239264,8.955,5.666666666666667,5.75,7.463554192229039,Ametista,1,Não,2.0,2023
166,2023.0,7.0,6.084577235772358,9.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Não,1.0,2023
167,2023.0,6.0,5.353514550264551,8.0,4.7775,6.481481481481481,7.4775,2.857142857142857,4.0,5.075021164021164,Quartzo,0,Não,2.0,2023
168,2023.0,6.0,5.300708737864078,8.0,6.07,8.640776699029125,8.77,0.0,4.0,5.884310679611651,Quartzo,0,Não,2.0,2023
169,2023.0,6.0,7.105500000000001,8.0,7.902500000000001,9.464285714285714,10.0,4.5,4.0,7.946714285714286,Ametista,1,Não,2.0,2023
171,2023.0,5.0,4.845909285408643,7.0,2.8210526315789473,8.211382113821138,5.521052631578947,3.0,4.0,5.012973898160034,Quartzo,0,Não,3.0,2023
172,2023.0,5.0,7.042790482790483,7.0,7.505405405405405,9.05982905982906,10.0,5.666666666666667,4.0,7.75942711942712,Ametista,1,Não,3.0,2023
176,2023.0,4.0,6.239798149705636,6.0,4.968292682926829,6.637931034482759,7.668292682926829,7.5,4.0,6.142489486963836,Ágata,0,Não,4.0,2023
178,2023.0,6.0,6.989254716981133,8.0,7.342499999999999,9.433962264150944,10.0,4.5,4.0,7.710584905660378,Ametista,1,Não,2.0,2023
180,2023.0,6.0,6.4815000000000005,8.0,5.955,8.75,8.655000000000001,4.5,4.0,6.882,Ágata,0,Não,2.0,2023
181,2023.0,5.0,5.474360062893082,7.0,4.4225,6.792452830188679,7.1225000000000005,4.333333333333333,4.0,5.352647798742138,Quartzo,0,Não,3.0,2023
182,2023.0,5.0,6.391963615023475,7.0,5.6175,8.309859154929578,8.317499999999999,5.666666666666667,4.0,6.7042769953051655,Ágata,0,Não,3.0,2023
184,2023.0,2.0,2.87,7.0,0.0,0.0,2.7,4.5,0.0,1.0,Quartzo,0,Não,3.0,2023
185,2023.0,3.0,5.954780405405406,6.0,5.851351351351352,8.28125,8.551351351351352,4.5,4.0,6.553040540540541,Ágata,0,Não,4.0,2023
186,2023.0,4.0,7.75127049180328,8.0,7.6375,9.098360655737705,10.0,7.5,4.0,8.194344262295083,Ametista,1,Não,2.0,2023
187,2023.0,3.0,4.163410256410256,7.0,2.79,8.974358974358974,5.49,0.0,4.0,4.70574358974359,Quartzo,0,Não,3.0,2023
188,2023.0,3.0,6.998750000000001,8.0,7.61875,9.107142857142858,10.0,4.5,4.0,7.690357142857144,Ametista,1,Não,2.0,2023
191,2023.0,2.0,6.454710144927535,5.0,7.625,9.021739130434783,10.0,4.5,4.666666666666667,7.658695652173914,Ágata,1,Não,5.0,2023
192,2023.0,3.0,5.2199554794520555,6.0,3.7825,7.465753424657534,6.4825,4.5,4.0,5.399301369863014,Quartzo,0,Não,4.0,2023
193,2023.0,4.0,6.325224137931035,7.0,4.545,7.655172413793103,7.245,7.0,4.0,6.280068965517241,Ágata,0,Não,3.0,2023
196,2023.0,2.0,3.1300000000000003,6.0,0.8333333333333334,1.5,3.5333333333333337,4.5,0.0,1.9333333333333336,Quartzo,0,Não,4.0,2023
199,2023.0,4.0,7.4991095890410975,8.0,6.15,9.315068493150685,8.850000000000001,8.0,4.0,7.786027397260275,Ametista,1,Não,2.0,2023
201,2023.0,4.0,6.968859589041097,7.0,5.4825,9.315068493150685,8.182500000000001,7.5,4.0,7.419027397260274,Ametista,1,Não,3.0,2023
202,2023.0,4.0,7.492245901639345,8.0,6.1899999999999995,9.180327868852459,8.89,8.0,4.0,7.748131147540983,Ametista,1,Não,2.0,2023
204,2023.0,4.0,6.498571428571429,6.0,5.25,8.061224489795919,7.95,7.5,3.75,6.8244897959183675,Ágata,0,Não,4.0,2023
205,2023.0,3.0,5.3256578947368425,7.0,3.475,7.236842105263158,6.175000000000001,4.5,4.0,5.284736842105264,Quartzo,0,Não,3.0,2023
206,2023.0,2.0,6.136941860465116,6.0,5.665,9.767441860465116,8.365,4.5,4.0,7.172976744186046,Ágata,1,Não,4.0,2023
207,2023.0,3.0,1.95,5.0,0.0,2.0,2.7,0.0,4.0,0.8,Quartzo,0,Não,5.0,2023
209,2023.0,3.0,3.4463395225464195,6.0,2.2153846153846155,4.655172413793103,4.915384615384616,1.0,4.0,2.948222811671088,Quartzo,0,Não,4.0,2023
210,2023.0,3.0,3.1891246684350136,6.0,1.4384615384615385,4.482758620689655,4.138461538461539,1.0,4.0,2.5684880636604777,Quartzo,0,Não,4.0,2023
211,2023.0,3.0,7.06319298245614,7.0,7.7299999999999995,9.12280701754386,10.0,4.0,8.0,7.541122807017544,Ametista,1,Não,3.0,2023
213,2023.0,5.0,6.047764525993885,7.0,5.49,7.981651376146789,8.190000000000001,4.666666666666667,4.0,6.321993883792049,Ágata,0,Não,3.0,2023
215,2023.0,2.0,2.87,7.0,0.0,0.0,2.7,4.5,0.0,1.0,Quartzo,0,Não,3.0,2023
217,2023.0,3.0,4.593759057971014,6.0,2.30625,5.942028985507246,5.00625,4.5,4.0,4.299311594202898,Quartzo,0,Não,4.0,2023
218,2023.0,5.0,5.067722222222223,7.0,5.585,9.444444444444445,8.285,0.0,4.0,6.0117777777777786,Quartzo,0,Não,3.0,2023
219,2023.0,4.0,6.650201492537313,7.0,6.635,8.283582089552239,9.335,5.5,4.0,7.067432835820895,Ágata,1,Não,3.0,2023
