NOME,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,PEDRA,PONTO_VIRADA,FASE,ANO,DEFASAGEM,NIVEL_IDEAL
ALUNO-298,6.3366690000000006,5.0,6.5,6.6,8.500020000000001,5.0,5.0,6.833335,Ágata,0.0,1.0,2020,,
ALUNO-299,8.388334,10.0,9.2,10.0,5.83334,5.625,0.0,0.0,Ametista,,8.0,2020,,
ALUNO-300,6.776668000000001,10.0,8.4,0.0,9.16668,7.5,0.0,0.0,Ágata,,8.0,2020,,
ALUNO-301,8.848335333333335,10.0,9.5,9.2,10.00002,7.5,7.916666666666668,7.833333333333333,Topázio,0.0,1.0,2020,,
ALUNO-305,7.361390666666666,5.0,6.5,8.3,8.500020000000001,7.5,6.458333333333334,8.277776666666666,Ametista,0.0,2.0,2020,,
ALUNO-306,3.89146,10.0,0.0,1.4,6.66667,4.375,5.15625,4.95834,Quartzo,0.0,7.0,2020,,
ALUNO-309,8.200002000000001,10.0,10.0,6.5,8.500020000000001,7.5,7.5,7.75,Ametista,0.0,1.0,2020,,
ALUNO-312,8.508890666666668,10.0,8.5,9.1,10.00002,7.5,5.833333333333333,8.277776666666666,Topázio,0.0,2.0,2020,,
ALUNO-313,7.900001,10.0,6.5,10.0,7.50002,7.5,7.5,6.749995,Ametista,0.0,0.0,2020,,
ALUNO-315,9.461114666666669,10.0,8.666666666666666,10.0,9.16668,9.375,8.958333333333332,9.8889,Topázio,1.0,4.0,2020,,
ALUNO-316,6.427501,10.0,0.0,7.7,7.41668,7.5,8.125,7.916665,Ágata,0.0,2.0,2020,,
ALUNO-318,8.300001000000002,5.0,10.0,10.0,9.000020000000001,7.5,7.5,6.999995,Ametista,0.0,0.0,2020,,
ALUNO-319,7.1833350000000005,10.0,2.0,9.5,9.000020000000001,7.5,7.5,7.416665,Ágata,0.0,2.0,2020,,
ALUNO-321,4.9156245,10.0,2.0,2.0,4.58334,7.5,6.40625,6.3333275,Quartzo,0.0,6.0,2020,,
ALUNO-323,6.053335000000001,5.0,4.5,9.1,8.000020000000001,5.0,2.5,6.416665,Quartzo,0.0,1.0,2020,,
ALUNO-324,8.064375833333333,10.0,6.666666666666667,7.9,8.75001,7.5,8.59375,8.333332500000001,Ametista,0.0,6.0,2020,,
ALUNO-328,6.858541000000001,5.0,9.0,4.1,7.5,7.5,7.96875,7.20833,Ágata,0.0,3.0,2020,,
ALUNO-329,7.9835415,10.0,7.0,8.6,7.91667,7.5,7.96875,7.6249975,Ametista,0.0,7.0,2020,,
ALUNO-330,7.680002,5.0,8.5,7.9,8.000020000000001,7.5,7.5,8.0,Ametista,0.0,1.0,2020,,
ALUNO-332,8.258057333333333,5.0,10.0,9.2,9.50002,7.5,7.291666666666667,7.444443333333333,Ametista,0.0,1.0,2020,,
ALUNO-335,7.470837,10.0,9.5,10.0,8.500020000000001,4.375,2.5,5.166675,Ametista,0.0,0.0,2020,,
ALUNO-337,8.952223333333334,10.0,7.0,9.9,8.33334,10.0,9.166666666666666,9.111113333333332,Topázio,1.0,5.0,2020,,
